brand,description,num_review,price,rating,sale_price,shoe_type
Naturalizer, Emiline-L Slip-ons,2,99.0,70.0,59.4,Flats
TOMS, Women's Printed Alpargata Flats,3,49.0,100.0,49.0,Flats
Karl Lagerfeld Paris, Bri Loafer Flats,1,139.0,60.0,64.93,Flats
Lucky Brand, Women's Atlyi Elastic Ankle-Strap Flats,0,79.0,0.0,34.93,Flats
Jessica Simpson, Women's Mandalaye Elastic Ballet Flats,47,69.0,87.23,69.0,Flats
Bandolino, Women's Edition Ballet Flats,285,59.0,84.28,59.0,Flats
Rockport, Women's Perpetua Dec Loafers,1,100.0,100.0,100.0,Flats
Skechers, Women's Cleo - Crave Casual Ballet Flats from Finish Line,42,55.0,87.62,30.0,Flats
INC International Concepts," INC Kylan Ankle-Strap Flat Espadrilles, Created for Macy's",3,69.5,100.0,29.93,Flats
Clarks, Women's Collection Sara Orchid Shoes,5,85.0,92.0,50.99,Flats
KORKS, Women's Blush Comfort Slingback Flat,0,100.0,0.0,59.99,Flats
Circus by Sam Edelman, Women's Deana Lug Sole Bit Loafers,84,79.0,88.33,34.93,Flats
Born, Women's Beca Comfort Flats,0,90.0,0.0,90.0,Flats
INC International Concepts," INC Jenaya Square-Toe Flats, Created for Macy's",1,69.5,100.0,29.93,Flats
JBU, Meadow Women's Casual Maryjane Shoe,9,69.0,68.89,69.0,Flats
Soul Naturalizer, Gift Ballerina Flats,20,59.99,91.0,59.99,Flats
Rampage, Women's Byron Espadrilles ,1,59.0,60.0,59.0,Flats
INC International Concepts," INC Mabley Flats, Created for Macy's",3,79.5,73.33,34.93,Flats
Giani Bernini," Nyla Flats, Created for Macy's",0,79.5,0.0,34.93,Flats
Tommy Hilfiger, Women's Kokoi Logo Embellished Espadrilles,0,69.0,0.0,69.0,Flats
LifeStride, Bloom 2 Slip-ons,6,60.0,66.67,60.0,Flats
Charter Club," Kimii Deconstructed Loafers, Created for Macy's",38,59.5,93.68,24.93,Flats
Franco Sarto, Jolee Flats,5,99.0,88.0,99.0,Flats
MICHAEL Michael Kors, Sutton Signature Logo Moccasin Flat Loafers,104,99.0,69.23,99.0,Flats
Dr. Scholl's, Women's Jam Session Oxfords,1,60.0,80.0,60.0,Flats
Sam Edelman, Women's Carol Bow-Tie Mules,1,120.0,100.0,120.0,Flats
Karl Lagerfeld Paris, Anja Espadrille Flats,0,149.0,0.0,149.0,Flats
Naturalizer, Vivienne Flats,6,79.0,86.67,79.0,Flats
Clarks, Collection Women's Gracelin Lola Flats,25,85.0,73.6,50.99,Flats
Sam Edelman, Women's Carol Bow-Tie Mules,1,120.0,100.0,84.0,Flats
Franco Sarto, Callum Slip-ons,12,89.0,81.67,89.0,Flats
XOXO, Women's Vanya Flat Shoe,0,49.0,0.0,29.4,Flats
Kenneth Cole Reaction, Women's Viv Buckle Loafer Flats,8,69.0,50.0,34.5,Flats
White Mountain, Dream On Oxford Women's Flats,1,69.0,100.0,29.93,Flats
kate spade new york, Women's Knottingham Flats,1,128.0,80.0,96.6,Flats
Soul Naturalizer, Kacy Slip-on Flats,5,79.99,100.0,79.99,Flats
Clarks, Women's Collection Sharon Gracie Shoes,21,95.0,84.76,56.99,Flats
Anne Klein, Sport Uplift Buckle Flats ,34,70.0,92.94,70.0,Flats
Easy Spirit, Women's Travelport Mules,6,69.0,96.67,69.0,Flats
Circus by Sam Edelman," Women's Carmen Flats, Created for Macy's",0,59.0,0.0,24.93,Flats
Naturalizer, Marsha Flats,1,89.0,100.0,53.4,Flats
Clarks, Collection Women's Juliette Monte Flats,42,85.0,85.24,50.99,Flats
Sam Edelman, Women's Stacey Pointed-Toe Flats,8,110.0,67.5,66.0,Flats
Naturalizer, Maxwell Flats TRUE COLORS,1,79.0,100.0,79.0,Flats
Clarks, Women's Collection Juliet Hayes Shoes,17,85.0,89.41,50.99,Flats
Skechers, Women's Cleo - Knitty Kitty Slip-On Casual Ballet Flats from Finish Line,77,55.0,93.25,35.0,Flats
Sam Edelman, Women's Loraine Bit Loafers,31,150.0,91.61,105.0,Flats
Sun + Stone," Selenna Mock Loafers, Created for Macy's",1,79.5,100.0,34.93,Flats
Clarks, Collection Women's Cora Daisy Shoes,23,90.0,79.13,53.99,Flats
Skechers, Women's Cleo - Knitty City Casual Ballet Flats from Finish Line,107,55.0,91.21,30.0,Flats
Nautica, Seaback 2 Women's Ballet Flat,3,39.0,60.0,39.0,Flats
Rockport, Women's Stacie Perf Ballet Flats,10,90.0,92.0,90.0,Flats
Gentle Souls, by Kenneth Cole Women's Lizzy A-line Espadrilles,5,149.0,64.0,149.0,Flats
Karen Scott," Adella Pointed-Toe Flats, Created for Macy's",6,49.5,83.33,19.93,Flats
LifeStride, Isabelle Slip-on Loafers,5,70.0,68.0,70.0,Flats
Gentle Souls,  by Kenneth Cole Women's Eugene Woven Slide Flats ,0,199.0,0.0,199.0,Flats
Trotters, Sizzle Signature Mary Jane Flat,0,99.95,0.0,99.95,Flats
MICHAEL Michael Kors, Eloise Ballet Flats,0,99.0,0.0,99.0,Flats
Frye, Women's Kenzie Slingbacks ,2,198.0,90.0,198.0,Flats
Journee Collection, Women's Vika Flats,14,49.0,50.0,49.0,Flats
Soul Naturalizer, Kemper Slip-ons,13,80.0,90.77,80.0,Flats
Lucky Brand, Women's Emmie Ballet Flats,1497,59.0,83.47,59.0,Flats
Sam Edelman, Women's Karlita Espadrille Flats,68,100.0,85.29,100.0,Flats
MICHAEL Michael Kors, Sutton Moccasin Flat Loafers,186,99.0,76.77,99.0,Flats
Cole Haan, Womens Nantucket Loafers,2,100.0,90.0,100.0,Flats
Jambu, Originals Women's Pine Casual Mary Jane Flats,1,99.0,100.0,99.0,Flats
Charter Club," Mackayy Ballet Flats, Created for Macy's",1,79.5,100.0,34.93,Flats
Charter Club," Kimii Deconstructed Loafers, Created for Macy's",38,59.5,93.68,59.5,Flats
Naturalizer, Havana Flats,3,110.0,93.33,110.0,Flats
Cole Haan, Women's Eden Skimmer Flats,0,150.0,0.0,150.0,Flats
White Mountain, Belief Women's Flats,6,69.0,90.0,29.93,Flats
Franco Sarto, Carolynn Lugged Bottom Loafers,175,89.0,83.66,89.0,Flats
Naturalizer, Halo Slingbacks,1,89.0,100.0,89.0,Flats
Clarks, Women's Sara Clover Slip On Flats,5,85.0,100.0,50.99,Flats
LifeStride, Next Level Slip-ons,17,70.0,90.59,70.0,Flats
Style & Co," Nouraa Slip-On Flats, Created for Macy's",12,49.5,60.0,29.7,Flats
Anne Klein, Kaily Espadrille Flats,7,89.0,91.43,53.4,Flats
Lauren Ralph Lauren, Jayna Flats,7,100.0,88.57,49.93,Flats
GUESS, Women's Jessea Espadrille Sneakers,0,49.0,0.0,49.0,Flats
Franco Sarto, Balica Loafers,3,99.0,66.67,99.0,Flats
Baretraps, Perrie Flats,1,89.0,80.0,39.93,Flats
LifeStride, Diverse Flats,10,60.0,74.0,60.0,Flats
kate spade new york, Women's Deck Flats,11,158.0,81.82,110.6,Flats
Cole Haan, ØriginalGrand Stitchlite Oxfords,0,150.0,0.0,150.0,Flats
Lucky Brand, Daneric Washable Knit Flats,11,69.0,85.45,69.0,Flats
Wild Pair," Mabel d'Orsay Flats, Created for Macy's",20,59.5,61.0,24.93,Flats
TOMS, Women's Heritage Canvas Alpargata Slip-On Flats,120,49.0,87.17,49.0,Flats
Giani Bernini," Dailyn Memory Foam Loafers, Created for Macy's",212,99.5,88.4,29.93,Flats
Marc Fisher, Women's Altair Flats,8,79.0,82.5,34.93,Flats
Alfani," Women's Gayle Loafers, Created for Macy's",0,79.5,0.0,34.93,Flats
Born, Women's Sebra Comfort Slip On Flats,0,95.0,0.0,95.0,Flats
Sun + Stone," Eliana Flats, Created for Macy's",3,49.5,80.0,19.93,Flats
Bzees, Niche Washable Slip-on Flats,285,79.0,91.3,79.0,Flats
COACH, Women's Charlie Espadrille Flats,17,125.0,83.53,125.0,Flats
COACH, Women's Charlie Espadrille Flats,8,125.0,92.5,125.0,Flats
COACH, Women's Channing Espadrille Mules,1,125.0,100.0,125.0,Flats
Blue by Betsey Johnson, Betsey Johnson Women's Jude Evening Flats,16,99.0,83.75,99.0,Flats
Tommy Hilfiger, Women's Kimey Ankle Tie Espadrilles,3,69.0,93.33,69.0,Flats
TOMS, Alpargata Rope Slip-On Flats,1,59.0,100.0,59.0,Flats
Tommy Hilfiger, Women's Kaia Loafers,3,69.0,100.0,69.0,Flats
Circus by Sam Edelman, Women's Odena Ruched Mules,29,69.0,91.03,29.93,Flats
Calvin Klein, Women's Raya Dressy Ballet Flats,7,99.0,85.71,44.93,Flats
Bzees, Niche Washable Slip-on Flats,1,80.0,100.0,39.93,Flats
Circus by Sam Edelman," Women's Carmen Flats, Created for Macy's",196,59.0,87.04,24.93,Flats
Easy Spirit, Devitt Loafers,1,79.0,100.0,79.0,Flats
LifeStride, Esme 2 Slip-on Sneakers,20,80.0,95.0,80.0,Flats
INC International Concepts," INC Mabley Flats, Created for Macy's",2,79.5,60.0,34.93,Flats
